CAPTL_WF,CATHROCK
0.135257179,0.0
0.098257121,0.0
0.068342807,0.04530303
0.027628543,0.06030303
0.054257093,0.052121212
0.112342836,0.052121212
0.124914336,0.042878788
0.110485729,0.0
0.068771471,0.0
0.083771407,0.053636364
0.092200036,0.133484833
0.067400036,0.191818167
0.0,0.17030303
0.053342871,0.103484833
0.051485664,0.157272712
0.06320005,0.203787864
0.061771393,0.235151515
0.057571414,0.293939394
0.047714236,0.342878773
0.049142893,0.285454515
0.048685671,0.202272712
0.058057079,0.218333318
0.106171414,0.163787864
0.1203428,0.123181803
0.119857136,0.169242409
0.130628643,0.307424227
0.137085614,0.326969667
0.135742843,0.292272712
0.143685693,0.338636333
0.131971414,0.324696939
0.128742871,0.224393924
0.1207428,0.121363621
0.111314286,0.041969697
0.1174857,0.050151515
0.0819143,0.082121212
0.12397145,0.121818182
0.122200014,0.107424242
0.116542814,0.153030288
0.119857136,0.162424227
0.112314279,0.163030288
0.061771393,0.072878788
0.0571143,0.028333333
0.052914321,0.0
0.052428543,0.0
0.055199979,0.0
0.060342843,0.0
0.060342843,0.0
0.053857093,0.0
